rank,Symbol,Name,Sector,sleeve,conviction_score,screens_passed,screens_list,LTP,Change%,Turnover_USD,Liquidity_Tier,Quality_Score,Quality_Grade,Darvas_Signal,GC_Signal,Piotroski_Score,Piotroski_Strong,CoffeeCan,CC_Score,MagicFormula,ROIC_%,Earnings_Yield_%,BullCartel,ROE_avg_%,Revenue_CAGR_%,Sales_Growth_YoY_%,Profit_Growth_YoY_%,Above_EMA50,Actionable,ML_Direction,ML_Pred_Ret%,ML_Confidence,thesis
21,BGC,"BGC Group, Inc.",Financial Services,CORE,57.7,5,Darvas breakout; Bull Cartel; Quality A/B; Actionable setup; Above EMA50,11.61,0.87,15875353.0,T2_LIQUID,80.0,A,BREAKOUT_BUY,ABOVE_200DMA,5.0,NO,FAIL,4/6,FAIL,10.28,5.32,PASS,10.36,17.63,44.79,52.54,1.0,1.0,BULLISH,1.959,0.222,"BGC Group, Inc. (Financial Services). Hits: Darvas breakout; Bull Cartel; Quality A/B; Actionable setup; Above EMA50. Price $11.61, +0.9% day. Piotroski F=5. Avg ROE 10.4%. Breakout quality A (80). Liquidity T2_LIQUID · ~$15,875,353/day. Multi-screen agreement → highest conviction sleeve."
22,DAVE,Dave Inc.,Technology,CORE,56.1,5,Darvas breakout; Bull Cartel; Quality A/B; Actionable setup; Above EMA50,394.2,-6.95,4210162.0,T3_MID,70.0,B,BREAKOUT_BUY,ABOVE_200DMA,6.0,NO,FAIL,3/6,FAIL,46.88,3.2,PASS,-22.39,39.34,46.71,101.08,1.0,1.0,BULLISH,5.224,0.242,"Dave Inc. (Technology). Hits: Darvas breakout; Bull Cartel; Quality A/B; Actionable setup; Above EMA50. Price $394.20, -7.0% day. Piotroski F=6. Avg ROE -22.4%. Breakout quality B (70). Liquidity T3_MID · ~$4,210,162/day. Multi-screen agreement → highest conviction sleeve."
23,AVGO,Broadcom Inc.,Technology,CORE,55.8,4,Piotroski strong; Coffee Can; Bull Cartel; Above EMA50,389.85,-1.75,2642782915.0,T1_MOST_LIQUID,43.2,C,IN_BOX,ABOVE_200DMA,8.0,YES,PASS,6/6,FAIL,17.0,1.37,PASS,36.62,24.38,47.87,87.51,1.0,0.0,BULLISH,0.677,0.049,"Broadcom Inc. (Technology). Hits: Piotroski strong; Coffee Can; Bull Cartel; Above EMA50. Price $389.85, -1.8% day. Piotroski F=8. Avg ROE 36.6%. Breakout quality C (43). Liquidity T1_MOST_LIQUID · ~$2,642,782,915/day. Multi-screen agreement → highest conviction sleeve."
24,VNOM,"Viper Energy, Inc.",Energy,CORE,55.6,5,Darvas breakout; Bull Cartel; Quality A/B; Actionable setup; Above EMA50,45.34,0.15,20339092.0,T2_LIQUID,70.0,B,BREAKOUT_BUY,ABOVE_200DMA,3.0,NO,FAIL,3/6,FAIL,-0.97,-1.22,PASS,13.16,17.21,108.57,29.33,1.0,1.0,BEARISH,-7.432,0.954,"Viper Energy, Inc. (Energy). Hits: Darvas breakout; Bull Cartel; Quality A/B; Actionable setup; Above EMA50. Price $45.34, +0.1% day. Piotroski F=3. Avg ROE 13.2%. Breakout quality B (70). Liquidity T2_LIQUID · ~$20,339,092/day. Multi-screen agreement → highest conviction sleeve."
25,PCTY,Paylocity Holding Corporation,Technology,CORE,55.5,4,Piotroski strong; Coffee Can; Quality A/B; Above EMA50,119.92,-0.71,73126963.0,T1_MOST_LIQUID,64.5,B,IN_BOX,BELOW_200DMA,8.0,YES,PASS,6/6,FAIL,20.48,4.72,FAIL,17.48,23.22,10.5,21.61,1.0,0.0,BULLISH,4.735,0.43,"Paylocity Holding Corporation (Technology). Hits: Piotroski strong; Coffee Can; Quality A/B; Above EMA50. Price $119.92, -0.7% day. Piotroski F=8. Avg ROE 17.5%. Breakout quality B (64). Liquidity T1_MOST_LIQUID · ~$73,126,963/day. Multi-screen agreement → highest conviction sleeve."
26,ASML,ASML Holding N.V. - New York Re,Technology,CORE,55.4,4,Piotroski strong; Coffee Can; Quality A/B; Above EMA50,1793.64,-0.46,815221615.0,T1_MOST_LIQUID,63.0,B,IN_BOX,ABOVE_200DMA,8.0,YES,PASS,6/6,FAIL,43.81,1.7,FAIL,53.02,15.55,13.25,17.06,1.0,0.0,BEARISH,-4.499,0.406,"ASML Holding N.V. - New York Re (Technology). Hits: Piotroski strong; Coffee Can; Quality A/B; Above EMA50. Price $1793.64, -0.5% day. Piotroski F=8. Avg ROE 53.0%. Breakout quality B (63). Liquidity T1_MOST_LIQUID · ~$815,221,615/day. Multi-screen agreement → highest conviction sleeve."
27,LFST,"LifeStance Health Group, Inc.",Healthcare,CORE,55.3,5,Piotroski strong; Bull Cartel; Quality A/B; ML bullish; Above EMA50,10.86,-1.36,7602670.0,T2_LIQUID,61.5,B,IN_BOX,ABOVE_200DMA,8.0,YES,FAIL,4/6,FAIL,1.23,0.55,PASS,-7.64,18.33,21.17,1908.89,1.0,0.0,BULLISH,11.963,0.848,"LifeStance Health Group, Inc. (Healthcare). Hits: Piotroski strong; Bull Cartel; Quality A/B; ML bullish; Above EMA50. Price $10.86, -1.4% day. Piotroski F=8. Avg ROE -7.6%. Breakout quality B (62). Liquidity T2_LIQUID · ~$7,602,670/day. Multi-screen agreement → highest conviction sleeve."
28,RTX,,,CORE,55.2,5,Darvas breakout; Golden cross; Quality A/B; Actionable setup; Above EMA50,209.04,7.27,527787358.0,T1_MOST_LIQUID,77.8,B,BREAKOUT_BUY,GOLDEN_CROSS,,NO,FAIL,,FAIL,,,FAIL,,,,,1.0,1.0,BEARISH,-1.687,0.22,"nan (nan). Hits: Darvas breakout; Golden cross; Quality A/B; Actionable setup; Above EMA50. Price $209.04, +7.3% day. Breakout quality B (78). Liquidity T1_MOST_LIQUID · ~$527,787,358/day. Multi-screen agreement → highest conviction sleeve."
29,BLLN,"BillionToOne, Inc.",Healthcare,CORE,54.9,5,Darvas breakout; Bull Cartel; Quality A/B; Actionable setup; Above EMA50,128.26,-0.76,29114929.0,T2_LIQUID,61.5,B,BREAKOUT_BUY,BELOW_200DMA,3.0,NO,FAIL,4/6,FAIL,1.34,0.15,PASS,1.55,,83.82,550.6,1.0,1.0,INSUFFICIENT_DATA,0.0,0.0,"BillionToOne, Inc. (Healthcare). Hits: Darvas breakout; Bull Cartel; Quality A/B; Actionable setup; Above EMA50. Price $128.26, -0.8% day. Piotroski F=3. Avg ROE 1.6%. Breakout quality B (62). Liquidity T2_LIQUID · ~$29,114,929/day. Multi-screen agreement → highest conviction sleeve."
30,VCYT,"Veracyte, Inc.",Healthcare,CORE,54.7,5,Piotroski strong; Bull Cartel; Quality A/B; ML bullish; Above EMA50,57.7,-0.53,21086612.0,T2_LIQUID,63.0,B,IN_BOX,ABOVE_200DMA,7.0,YES,FAIL,3/6,FAIL,5.07,1.63,PASS,-0.85,20.37,21.49,307.36,1.0,0.0,BULLISH,12.237,0.778,"Veracyte, Inc. (Healthcare). Hits: Piotroski strong; Bull Cartel; Quality A/B; ML bullish; Above EMA50. Price $57.70, -0.5% day. Piotroski F=7. Avg ROE -0.8%. Breakout quality B (63). Liquidity T2_LIQUID · ~$21,086,612/day. Multi-screen agreement → highest conviction sleeve."
