rank,Symbol,Name,Sector,sleeve,conviction_score,screens_passed,screens_list,LTP,Change%,Turnover_USD,Liquidity_Tier,Quality_Score,Quality_Grade,Darvas_Signal,GC_Signal,Piotroski_Score,Piotroski_Strong,CoffeeCan,CC_Score,MagicFormula,ROIC_%,Earnings_Yield_%,BullCartel,ROE_avg_%,Revenue_CAGR_%,Sales_Growth_YoY_%,Profit_Growth_YoY_%,Above_EMA50,Actionable,ML_Direction,ML_Pred_Ret%,ML_Confidence,thesis
76,YPF,,,CORE,48.6,5,Darvas breakout; Quality A/B; Actionable setup; ML bullish; Above EMA50,52.36,-0.29,31382685.0,T2_LIQUID,70.0,B,BREAKOUT_BUY,ABOVE_200DMA,,NO,FAIL,,FAIL,,,FAIL,,,,,1.0,1.0,BULLISH,17.145,1.0,"nan (nan). Hits: Darvas breakout; Quality A/B; Actionable setup; ML bullish; Above EMA50. Price $52.36, -0.3% day. Breakout quality B (70). Liquidity T2_LIQUID · ~$31,382,685/day. Multi-screen agreement → highest conviction sleeve."
77,LXP,,,CORE,48.6,5,Darvas breakout; Quality A/B; Actionable setup; ML bullish; Above EMA50,60.74,-0.67,18467599.0,T2_LIQUID,70.0,B,BREAKOUT_BUY,ABOVE_200DMA,,NO,FAIL,,FAIL,,,FAIL,,,,,1.0,1.0,BULLISH,3.848,0.659,"nan (nan). Hits: Darvas breakout; Quality A/B; Actionable setup; ML bullish; Above EMA50. Price $60.74, -0.7% day. Breakout quality B (70). Liquidity T2_LIQUID · ~$18,467,599/day. Multi-screen agreement → highest conviction sleeve."
78,DRH,,,CORE,48.6,5,Darvas breakout; Quality A/B; Actionable setup; ML bullish; Above EMA50,12.65,-1.94,16112109.0,T2_LIQUID,70.0,B,BREAKOUT_BUY,ABOVE_200DMA,,NO,FAIL,,FAIL,,,FAIL,,,,,1.0,1.0,BULLISH,13.363,1.0,"nan (nan). Hits: Darvas breakout; Quality A/B; Actionable setup; ML bullish; Above EMA50. Price $12.65, -1.9% day. Breakout quality B (70). Liquidity T2_LIQUID · ~$16,112,109/day. Multi-screen agreement → highest conviction sleeve."
79,FWRD,,,CORE,48.6,5,Darvas breakout; Quality A/B; Actionable setup; ML bullish; Above EMA50,15.38,-4.29,15790981.0,T2_LIQUID,70.0,B,BREAKOUT_BUY,BELOW_200DMA,,NO,FAIL,,FAIL,,,FAIL,,,,,1.0,1.0,BULLISH,21.911,0.824,"nan (nan). Hits: Darvas breakout; Quality A/B; Actionable setup; ML bullish; Above EMA50. Price $15.38, -4.3% day. Breakout quality B (70). Liquidity T2_LIQUID · ~$15,790,981/day. Multi-screen agreement → highest conviction sleeve."
80,EC,,,CORE,48.6,5,Darvas breakout; Quality A/B; Actionable setup; ML bullish; Above EMA50,16.54,-0.9,14115695.0,T2_LIQUID,70.0,B,BREAKOUT_BUY,ABOVE_200DMA,,NO,FAIL,,FAIL,,,FAIL,,,,,1.0,1.0,BULLISH,8.4,0.747,"nan (nan). Hits: Darvas breakout; Quality A/B; Actionable setup; ML bullish; Above EMA50. Price $16.54, -0.9% day. Breakout quality B (70). Liquidity T2_LIQUID · ~$14,115,695/day. Multi-screen agreement → highest conviction sleeve."
81,AEG,,,CORE,48.6,5,Darvas breakout; Quality A/B; Actionable setup; ML bullish; Above EMA50,9.05,-1.2,13594606.0,T2_LIQUID,70.2,B,BREAKOUT_BUY,ABOVE_200DMA,,NO,FAIL,,FAIL,,,FAIL,,,,,1.0,1.0,BULLISH,10.096,1.0,"nan (nan). Hits: Darvas breakout; Quality A/B; Actionable setup; ML bullish; Above EMA50. Price $9.05, -1.2% day. Breakout quality B (70). Liquidity T2_LIQUID · ~$13,594,606/day. Multi-screen agreement → highest conviction sleeve."
82,AKR,,,CORE,48.6,5,Darvas breakout; Quality A/B; Actionable setup; ML bullish; Above EMA50,21.92,-1.75,13048271.0,T2_LIQUID,70.0,B,BREAKOUT_BUY,ABOVE_200DMA,,NO,FAIL,,FAIL,,,FAIL,,,,,1.0,1.0,BULLISH,9.462,1.0,"nan (nan). Hits: Darvas breakout; Quality A/B; Actionable setup; ML bullish; Above EMA50. Price $21.92, -1.8% day. Breakout quality B (70). Liquidity T2_LIQUID · ~$13,048,271/day. Multi-screen agreement → highest conviction sleeve."
83,CSX,CSX Corporation,Industrials,CORE,48.6,4,Darvas breakout; Quality A/B; Actionable setup; Above EMA50,52.76,5.67,406841087.0,T1_MOST_LIQUID,77.8,B,BREAKOUT_BUY,ABOVE_200DMA,5.0,NO,FAIL,4/6,FAIL,11.38,4.15,FAIL,28.24,-1.74,1.72,24.92,1.0,1.0,BEARISH,-9.33,1.0,"CSX Corporation (Industrials). Hits: Darvas breakout; Quality A/B; Actionable setup; Above EMA50. Price $52.76, +5.7% day. Piotroski F=5. Avg ROE 28.2%. Breakout quality B (78). Liquidity T1_MOST_LIQUID · ~$406,841,087/day. Multi-screen agreement → highest conviction sleeve."
84,APA,,,CORE,48.6,4,Darvas breakout; Quality A/B; Actionable setup; Above EMA50,36.65,1.3,171352293.0,T1_MOST_LIQUID,70.0,B,BREAKOUT_BUY,ABOVE_200DMA,6.0,NO,FAIL,5/6,FAIL,20.2,25.14,FAIL,249.58,-6.96,-11.72,28.53,1.0,1.0,BEARISH,-8.234,0.671,"nan (nan). Hits: Darvas breakout; Quality A/B; Actionable setup; Above EMA50. Price $36.65, +1.3% day. Piotroski F=6. Avg ROE 249.6%. Breakout quality B (70). Liquidity T1_MOST_LIQUID · ~$171,352,293/day. Multi-screen agreement → highest conviction sleeve."
85,BFH,,,CORE,48.5,5,Darvas breakout; Quality A/B; Actionable setup; ML bullish; Above EMA50,102.77,0.88,35908699.0,T2_LIQUID,69.0,B,BREAKOUT_BUY,ABOVE_200DMA,,NO,FAIL,,FAIL,,,FAIL,,,,,1.0,1.0,BULLISH,9.239,0.835,"nan (nan). Hits: Darvas breakout; Quality A/B; Actionable setup; ML bullish; Above EMA50. Price $102.77, +0.9% day. Breakout quality B (69). Liquidity T2_LIQUID · ~$35,908,699/day. Multi-screen agreement → highest conviction sleeve."
86,SBLK,,,CORE,48.5,5,Darvas breakout; Quality A/B; Actionable setup; ML bullish; Above EMA50,26.99,0.82,25457999.0,T2_LIQUID,69.0,B,BREAKOUT_BUY,ABOVE_200DMA,,NO,FAIL,,FAIL,,,FAIL,,,,,1.0,1.0,BULLISH,5.573,0.657,"nan (nan). Hits: Darvas breakout; Quality A/B; Actionable setup; ML bullish; Above EMA50. Price $26.99, +0.8% day. Breakout quality B (69). Liquidity T2_LIQUID · ~$25,457,999/day. Multi-screen agreement → highest conviction sleeve."
87,BCO,,,CORE,48.5,5,Darvas breakout; Quality A/B; Actionable setup; ML bullish; Above EMA50,122.14,-0.48,19384560.0,T2_LIQUID,69.0,B,BREAKOUT_BUY,BELOW_200DMA,,NO,FAIL,,FAIL,,,FAIL,,,,,1.0,1.0,BULLISH,9.901,1.0,"nan (nan). Hits: Darvas breakout; Quality A/B; Actionable setup; ML bullish; Above EMA50. Price $122.14, -0.5% day. Breakout quality B (69). Liquidity T2_LIQUID · ~$19,384,560/day. Multi-screen agreement → highest conviction sleeve."
88,GBX,,,CORE,48.5,5,Darvas breakout; Quality A/B; Actionable setup; ML bullish; Above EMA50,51.74,1.19,11910334.0,T2_LIQUID,69.0,B,BREAKOUT_BUY,BELOW_200DMA,,NO,FAIL,,FAIL,,,FAIL,,,,,1.0,1.0,BULLISH,9.82,1.0,"nan (nan). Hits: Darvas breakout; Quality A/B; Actionable setup; ML bullish; Above EMA50. Price $51.74, +1.2% day. Breakout quality B (69). Liquidity T2_LIQUID · ~$11,910,334/day. Multi-screen agreement → highest conviction sleeve."
89,TRMD,,,CORE,48.5,5,Darvas breakout; Quality A/B; Actionable setup; ML bullish; Above EMA50,30.12,2.17,9144659.0,T2_LIQUID,68.8,B,BREAKOUT_BUY,ABOVE_200DMA,,NO,FAIL,,FAIL,,,FAIL,,,,,1.0,1.0,BULLISH,13.568,1.0,"nan (nan). Hits: Darvas breakout; Quality A/B; Actionable setup; ML bullish; Above EMA50. Price $30.12, +2.2% day. Breakout quality B (69). Liquidity T2_LIQUID · ~$9,144,659/day. Multi-screen agreement → highest conviction sleeve."
90,ELVN,"Enliven Therapeutics, Inc.",Healthcare,CORE,48.5,5,Darvas breakout; Quality A/B; Actionable setup; ML bullish; Above EMA50,52.62,-0.44,2691198.0,T3_MID,63.0,B,BREAKOUT_BUY,ABOVE_200DMA,3.0,NO,FAIL,2/6,FAIL,-26.04,-3.71,FAIL,-26.8,,,17.23,1.0,1.0,BULLISH,17.834,0.632,"Enliven Therapeutics, Inc. (Healthcare). Hits: Darvas breakout; Quality A/B; Actionable setup; ML bullish; Above EMA50. Price $52.62, -0.4% day. Piotroski F=3. Avg ROE -26.8%. Breakout quality B (63). Liquidity T3_MID · ~$2,691,198/day. Multi-screen agreement → highest conviction sleeve."
91,BLTE,"Belite Bio, Inc",Healthcare,CORE,48.5,5,Darvas breakout; Quality A/B; Actionable setup; ML bullish; Above EMA50,156.01,-0.72,2225700.0,T3_MID,63.0,B,BREAKOUT_BUY,BELOW_200DMA,3.0,NO,FAIL,1/6,FAIL,-10.07,-1.33,FAIL,-25.08,,,-88.68,1.0,1.0,BULLISH,8.617,0.614,"Belite Bio, Inc (Healthcare). Hits: Darvas breakout; Quality A/B; Actionable setup; ML bullish; Above EMA50. Price $156.01, -0.7% day. Piotroski F=3. Avg ROE -25.1%. Breakout quality B (63). Liquidity T3_MID · ~$2,225,700/day. Multi-screen agreement → highest conviction sleeve."
92,ACVA,,,CORE,48.4,5,Darvas breakout; Quality A/B; Actionable setup; ML bullish; Above EMA50,7.53,-1.95,16985188.0,T2_LIQUID,67.5,B,BREAKOUT_BUY,BELOW_200DMA,,NO,FAIL,,FAIL,,,FAIL,,,,,1.0,1.0,BULLISH,17.25,0.771,"nan (nan). Hits: Darvas breakout; Quality A/B; Actionable setup; ML bullish; Above EMA50. Price $7.53, -1.9% day. Breakout quality B (68). Liquidity T2_LIQUID · ~$16,985,188/day. Multi-screen agreement → highest conviction sleeve."
93,CLSK,,,CORE,48.3,4,Darvas breakout; Quality A/B; Actionable setup; Above EMA50,15.74,2.74,140788227.0,T1_MOST_LIQUID,75.0,B,BREAKOUT_BUY,ABOVE_200DMA,5.0,NO,FAIL,2/6,FAIL,14.47,,FAIL,-6.54,79.94,-24.93,-172.6,1.0,1.0,BEARISH,-25.656,0.951,"nan (nan). Hits: Darvas breakout; Quality A/B; Actionable setup; Above EMA50. Price $15.74, +2.7% day. Piotroski F=5. Avg ROE -6.5%. Breakout quality B (75). Liquidity T1_MOST_LIQUID · ~$140,788,227/day. Multi-screen agreement → highest conviction sleeve."
94,SHO,,,CORE,48.2,5,Darvas breakout; Quality A/B; Actionable setup; ML bullish; Above EMA50,11.6,-1.28,19782039.0,T2_LIQUID,64.5,B,BREAKOUT_BUY,ABOVE_200DMA,,NO,FAIL,,FAIL,,,FAIL,,,,,1.0,1.0,BULLISH,6.276,1.0,"nan (nan). Hits: Darvas breakout; Quality A/B; Actionable setup; ML bullish; Above EMA50. Price $11.60, -1.3% day. Breakout quality B (64). Liquidity T2_LIQUID · ~$19,782,039/day. Multi-screen agreement → highest conviction sleeve."
95,ATHM,,,CORE,48.2,5,Darvas breakout; Quality A/B; Actionable setup; ML bullish; Above EMA50,21.23,-1.3,12219046.0,T2_LIQUID,64.5,B,BREAKOUT_BUY,BELOW_200DMA,,NO,FAIL,,FAIL,,,FAIL,,,,,1.0,1.0,BULLISH,6.637,0.706,"nan (nan). Hits: Darvas breakout; Quality A/B; Actionable setup; ML bullish; Above EMA50. Price $21.23, -1.3% day. Breakout quality B (64). Liquidity T2_LIQUID · ~$12,219,046/day. Multi-screen agreement → highest conviction sleeve."
96,KNTK,,,CORE,48.2,5,Darvas breakout; Quality A/B; Actionable setup; ML bullish; Above EMA50,51.69,0.14,11016163.0,T2_LIQUID,64.5,B,BREAKOUT_BUY,ABOVE_200DMA,,NO,FAIL,,FAIL,,,FAIL,,,,,1.0,1.0,BULLISH,14.597,1.0,"nan (nan). Hits: Darvas breakout; Quality A/B; Actionable setup; ML bullish; Above EMA50. Price $51.69, +0.1% day. Breakout quality B (64). Liquidity T2_LIQUID · ~$11,016,163/day. Multi-screen agreement → highest conviction sleeve."
97,VTRS,Viatris Inc.,Healthcare,CORE,48.1,4,Darvas breakout; Quality A/B; Actionable setup; Above EMA50,17.12,0.65,86990633.0,T1_MOST_LIQUID,80.0,A,BREAKOUT_BUY,ABOVE_200DMA,4.0,NO,FAIL,3/6,FAIL,-10.61,-10.24,FAIL,-4.29,-4.2,8.07,105.8,1.0,1.0,BEARISH,-5.567,0.621,"Viatris Inc. (Healthcare). Hits: Darvas breakout; Quality A/B; Actionable setup; Above EMA50. Price $17.12, +0.7% day. Piotroski F=4. Avg ROE -4.3%. Breakout quality A (80). Liquidity T1_MOST_LIQUID · ~$86,990,633/day. Multi-screen agreement → highest conviction sleeve."
98,SDRL,,,CORE,48.0,5,Darvas breakout; Quality A/B; Actionable setup; ML bullish; Above EMA50,45.24,0.94,26381423.0,T2_LIQUID,63.0,B,BREAKOUT_BUY,ABOVE_200DMA,,NO,FAIL,,FAIL,,,FAIL,,,,,1.0,1.0,BULLISH,6.845,0.653,"nan (nan). Hits: Darvas breakout; Quality A/B; Actionable setup; ML bullish; Above EMA50. Price $45.24, +0.9% day. Breakout quality B (63). Liquidity T2_LIQUID · ~$26,381,423/day. Multi-screen agreement → highest conviction sleeve."
99,AWR,,,CORE,48.0,5,Darvas breakout; Quality A/B; Actionable setup; ML bullish; Above EMA50,87.03,0.0,14337734.0,T2_LIQUID,63.0,B,BREAKOUT_BUY,ABOVE_200DMA,,NO,FAIL,,FAIL,,,FAIL,,,,,1.0,1.0,BULLISH,3.391,0.614,"nan (nan). Hits: Darvas breakout; Quality A/B; Actionable setup; ML bullish; Above EMA50. Price $87.03, +0.0% day. Breakout quality B (63). Liquidity T2_LIQUID · ~$14,337,734/day. Multi-screen agreement → highest conviction sleeve."
100,WDS,,,CORE,48.0,5,Darvas breakout; Quality A/B; Actionable setup; ML bullish; Above EMA50,22.5,0.31,10675134.0,T2_LIQUID,63.0,B,BREAKOUT_BUY,ABOVE_200DMA,,NO,FAIL,,FAIL,,,FAIL,,,,,1.0,1.0,BULLISH,13.395,1.0,"nan (nan). Hits: Darvas breakout; Quality A/B; Actionable setup; ML bullish; Above EMA50. Price $22.50, +0.3% day. Breakout quality B (63). Liquidity T2_LIQUID · ~$10,675,134/day. Multi-screen agreement → highest conviction sleeve."
